call_mark,call_oi,call_volume,call_gamma,call_delta,call_vega,strike_price,put_gamma,put_delta,put_vega,put_volume,put_oi,put_mark,timestamp_IST,max_pain
5529.64196662,292,8.324999999999996,2.95e-06,0.99818065,0.17066115,84800,1.38e-06,-0.00071797,0.07282302,609.415,106226,0.34507919,08:15,265107
5130.14097929,12,0.08100000000000002,4.37e-06,0.99730156,0.2439483,85200,1.42e-06,-0.00067252,0.06856288,226.42099999999954,26731,0.30811568,08:15,231034
4730.76434457,57,0.521,6.23e-06,0.99617534,0.33386439,85600,1.82e-06,-0.00082546,0.08280895,248.77299999999968,103231,0.33661911,08:15,197878
4329.97841654,123,29.883999999999997,8.23e-06,0.99510465,0.41626806,86000,2.74e-06,-0.00121042,0.11767004,229.67499999999944,16743,0.49284114,08:15,168871
3930.11239399,38,0.07200000000000001,9.98e-06,0.99446513,0.46433892,86400,3.01e-06,-0.00120468,0.11715526,111.08800000000014,7087,0.43508726,08:15,140569
3730.11446375,0,0.12100000000000001,1.088e-05,0.99421789,0.48270446,86600,3.04e-06,-0.00114174,0.11153692,83.85700000000003,10970,0.3821423,08:15,126548
3531.4527464,15,0.885,1.203e-05,0.99386552,0.50869881,86800,4.25e-06,-0.00160933,0.15263259,94.74199999999996,6664,0.54349243,08:15,112732
3330.33290534,1131,12.357999999999997,1.371e-05,0.99325032,0.553593,87000,2.66e-06,-0.00084334,0.08445799,432.1450000000009,92594,0.23702384,08:15,99055
3130.75095514,0,0.613,1.633e-05,0.99214017,0.63311978,87200,5.43e-06,-0.00187267,0.17520396,220.23499999999984,52803,0.57360071,08:15,87622
2932.7095158,132,1.063,2.015e-05,0.99041738,0.75329389,87400,6.46e-06,-0.00213992,0.1977588,136.73200000000023,12052,0.62943268,08:15,76867
2733.03476252,492,2.654,2.364e-05,0.98916171,0.83871525,87600,7.95e-06,-0.00253779,0.23078521,185.18699999999967,28365,0.71085831,08:15,66397
2533.18277237,73,9.543999999999993,2.666e-05,0.9884813,0.88431216,87800,1.283e-05,-0.00425998,0.3676881,97.91200000000003,17994,1.20645743,08:15,56599
2333.61937994,3522,36.558,3.376e-05,0.9856335,1.07050056,88000,1.472e-05,-0.00456517,0.39114588,381.1719999999997,47040,1.23046928,08:15,47046
2134.24611555,883,9.72999999999999,3.879e-05,0.9845857,1.13729845,88200,2.366e-05,-0.00763367,0.61704745,140.37599999999972,25233,2.14499073,08:15,39304
1935.49567162,2042,15.981999999999994,5.125e-05,0.97980025,1.43246475,88400,3.238e-05,-0.01027179,0.80040264,250.12399999999963,28835,2.79481772,08:15,31451
1735.59326458,556,38.279000000000025,6.569e-05,0.97489921,1.72042118,88600,4.562e-05,-0.01433702,1.06862394,237.90499999999992,17692,3.97921465,08:15,24420
1537.01671082,2711,73.97800000000015,8.148e-05,0.97084678,1.9491857,88800,5.816e-05,-0.01710176,1.24316512,167.65699999999998,17739,4.2456426,08:15,17456
1333.26297758,6958,317.5290000000001,9.789e-05,0.96870684,2.06709474,89000,7.573e-05,-0.02062269,1.45782398,465.0669999999991,94512,4.9341525,08:15,11221
1137.41905526,3100,118.15899999999999,0.00013271,0.96002338,2.52691287,89200,0.00010871,-0.02830403,1.90189717,293.3159999999999,62918,6.38158253,08:15,7487
938.89141787,1951,169.88200000000023,0.000193,0.94332848,3.34142273,89400,0.00017364,-0.04574617,2.81778142,278.4609999999997,72757,9.99922759,08:15,4505
749.94284814,3035,177.75600000000048,0.00030089,0.90691112,4.88467591,89600,0.0002876,-0.08154769,4.42496873,215.28599999999983,24720,19.08489588,08:15,2815
570.48742996,8106,175.50700000000006,0.00045603,0.84195533,7.08046117,89800,0.00045572,-0.14831496,6.78864449,162.745,20392,38.69836711,08:15,1750
411.82875711,22864,743.378999999994,0.0006233,0.73418882,9.62390243,90000,0.00063424,-0.2598718,9.51332613,332.894,35947,79.79102766,08:15,1458
285.2064408,16467,241.72800000000012,0.00071796,0.59455393,11.373004,90200,0.00073369,-0.40373417,11.36115538,101.2460000000001,16809,151.70608913,08:15,2614
192.4773495,35840,306.6460000000002,0.00069401,0.45035043,11.61298506,90400,0.0007082,-0.55015209,11.61088999,73.16900000000012,6854,260.02990358,08:15,3995
132.56096291,13477,254.5900000000001,0.00058937,0.33022787,10.62684742,90600,0.00059962,-0.67365989,10.5765523,56.7140000000001,1627,400.17610332,08:15,6526
93.9343296,40711,227.4920000000003,0.00046745,0.2408443,9.13716421,90800,0.00047276,-0.76411082,9.03388406,24.721999999999987,2589,561.89615991,08:15,8962
69.9451091,31308,435.6210000000001,0.00036007,0.17880777,7.66602964,91000,0.00036117,-0.82708657,7.50498895,24.066999999999986,3610,736.48426307,08:15,12388
54.57074641,38681,335.7559999999992,0.00027733,0.13737618,6.44619852,91200,0.00027537,-0.86977892,6.21347689,15.183999999999997,1050,922.35343172,08:15,16227
33.70009853,19801,67.38800000000009,0.00020608,0.09174382,4.83228383,91400,0.0001999,-0.91606632,4.52211519,2.7640000000000002,202,1100.44402255,08:15,21023
20.42909189,38828,312.22699999999963,0.00014721,0.06024209,3.50578875,91600,0.00013465,-0.94992457,3.0293676,6.756999999999998,132,1288.33166636,08:15,26149
12.60105168,18647,34.87299999999998,0.0001024,0.03917358,2.48546148,91800,8.441e-05,-0.97191645,1.88955364,0.526,40,1481.7428852,08:15,32072
7.51037545,138787,1292.4980000000023,6.748e-05,0.02395954,1.65446486,92000,4.463e-05,-0.98718027,0.97024163,20.177000000000003,119,1675.16264432,08:15,38324
3.54293483,9630,35.55399999999999,3.877e-05,0.0123018,0.93624762,92200,0.0,-1.0,0.0,0.026,0,1872.70000001,08:15,47420
2.59973074,60289,390.01800000000424,2.738e-05,0.00867623,0.69054361,92400,0.0,-1.0,0.0,3.9919999999999987,18,2071.4,08:15,56629
5522.24281395,292,8.324999999999996,2.95e-06,0.99818677,0.17001137,84800,1.24e-06,-0.00062933,0.06443756,609.415,106226,0.3233568,08:16,265167
5122.75981972,12,0.08100000000000002,4.36e-06,0.99730311,0.2436687,85200,1.41e-06,-0.000672,0.06847179,226.42099999999954,26731,0.3036571,08:16,231094
4723.43371277,57,0.521,6.46e-06,0.99599582,0.34760968,85600,1.83e-06,-0.00082616,0.08281294,248.77299999999968,103231,0.35405877,08:16,197938
4323.97943017,123,29.883999999999997,8.55e-06,0.99484756,0.43543882,86000,2.73e-06,-0.00120938,0.11750339,229.67499999999944,16743,0.50915061,08:16,168932
3924.12206479,38,0.07200000000000001,1.035e-05,0.99417955,0.48524156,86400,3.02e-06,-0.00120642,0.11722216,111.08800000000014,7087,0.45693312,08:16,140629
3724.13238573,0,0.12100000000000001,1.138e-05,0.99386855,0.50810776,86600,3.03e-06,-0.00114094,0.11140169,83.85700000000003,10970,0.40739794,08:16,126609
3524.16159069,15,0.885,1.248e-05,0.99356535,0.53029182,86800,4.24e-06,-0.00160778,0.15240257,94.74199999999996,6664,0.57677578,08:16,112793
3324.3139182,1131,12.357999999999997,1.393e-05,0.99309348,0.56458264,87000,2.67e-06,-0.0008443,0.08448515,432.1450000000009,92594,0.25493904,08:16,99116
3124.74671138,0,0.613,1.683e-05,0.9918268,0.65476848,87200,5.44e-06,-0.00187493,0.17526875,220.23499999999984,52803,0.61119791,08:16,87682
2925.42312526,132,1.063,2.066e-05,0.99010456,0.77414221,87400,6.44e-06,-0.00213736,0.19743439,136.73200000000023,12052,0.67120038,08:16,76927
2725.81685528,492,2.654,2.587e-05,0.98768299,0.93657884,87600,7.93e-06,-0.00253457,0.23037441,185.18699999999967,28365,0.76647703,08:16,66457
2526.17946828,73,9.543999999999993,3.277e-05,0.9844595,1.1444825,87800,1.281e-05,-0.00425578,0.36715582,97.91200000000003,17994,1.32857146,08:16,56658
2326.55199509,3522,36.558,3.185e-05,0.98684044,0.99173995,88000,1.468e-05,-0.004559,0.39042587,381.1719999999997,47040,1.33030048,08:16,47105
2127.43738263,883,9.72999999999999,5.176e-05,0.97601654,1.65470243,88200,2.358e-05,-0.00762117,0.61581657,140.37599999999972,25233,2.29459351,08:16,39360
1928.68991973,2042,15.981999999999994,5.177e-05,0.97940911,1.45502223,88400,3.227e-05,-0.01025395,0.79868598,250.12399999999963,28835,3.02253093,08:16,31507
1729.889648,556,38.279000000000025,6.75e-05,0.97365453,1.79042034,88600,4.545e-05,-0.01431045,1.06624472,237.90499999999992,17692,4.14983649,08:16,24473
1530.03581664,2711,73.97800000000015,7.998e-05,0.97160309,1.90599403,88800,5.794e-05,-0.01706899,1.24034132,167.65699999999998,17739,4.62076065,08:16,17509
