strike_price,call_mark,call_oi,call_volume,call_gamma,call_delta,call_vega,put_mark,put_oi,put_volume,put_gamma,put_delta,put_vega,timestamp_IST,Expiry,max_pain
2240,211.31255885,2,11.569999999999997,0.00013879,0.99612954,0.00830418,0.22481393,148694,3027.449999999999,0.00023082,-0.00768669,0.01528405,09:53,01-02-2026,14369
2280,171.32860483,51,30.15,0.00025474,0.99354944,0.01308789,0.41469225,113826,5718.449999999997,0.00045647,-0.01466605,0.02681629,09:53,01-02-2026,10606
2300,151.30804306,35,39.17,0.00026075,0.99441425,0.01151989,0.60971696,86371,2944.009999999999,0.00066933,-0.0218647,0.03771408,09:53,01-02-2026,8950
2320,131.27014814,1020,99.14000000000003,0.0,1.0,0.0,0.57196768,111317,4165.959999999998,0.00079475,-0.02265863,0.03886301,09:53,01-02-2026,7466
2340,111.32517815,290,178.06,0.00045428,0.99227222,0.01535295,0.60277821,77805,1784.3899999999999,0.00104581,-0.0267781,0.04471012,09:53,01-02-2026,6219
2360,91.41513081,2546,397.1599999999999,0.00099065,0.98210188,0.03182114,1.32911953,75751,2665.019999999995,0.00195007,-0.05616904,0.08165285,09:53,01-02-2026,5119
2380,71.92540609,7598,702.8999999999996,0.00231098,0.95303951,0.07081426,2.53701473,95719,2534.0399999999977,0.00304703,-0.09587169,0.1229078,09:53,01-02-2026,4190
2400,53.29568073,8825,1826.829999999998,0.00454833,0.89107653,0.13479546,2.5726622,85594,6065.380000000003,0.00460349,-0.12284437,0.14684581,09:53,01-02-2026,3486
2420,36.38525649,4582,1271.33,0.00722289,0.78171848,0.21291028,5.04828346,41993,1603.63,0.00729085,-0.21961,0.2136272,09:53,01-02-2026,2964
2440,22.3207486,23098,1964.6999999999985,0.00951796,0.60298291,0.27840387,11.02601841,60046,7182.770000000022,0.00951862,-0.38941261,0.27699469,09:53,01-02-2026,2507
2460,12.07552373,31262,1760.539999999999,0.00977391,0.41637682,0.28181485,20.75342499,17479,1482.0099999999993,0.00951875,-0.58497372,0.2815635,09:53,01-02-2026,2205
2480,5.66121803,47165,1572.4899999999998,0.00755158,0.22921819,0.21879895,34.3209696,16652,1270.8099999999986,0.00774086,-0.76280673,0.22308814,09:53,01-02-2026,2017
2500,2.29984048,108198,4467.019999999999,0.00467458,0.11075435,0.13641588,50.89029656,4541,3110.959999999995,0.00481237,-0.88949013,0.13627288,09:53,01-02-2026,1925
2520,0.91024626,58721,3915.4800000000005,0.00238455,0.04560189,0.0691926,69.42845463,6760,1443.0799999999986,0.00225607,-0.95814996,0.06454594,09:53,01-02-2026,2090
2540,0.34450868,69656,4629.759999999998,0.00113726,0.02029781,0.03539535,88.81589106,4805,6937.98000000002,0.00065736,-0.99104089,0.01748554,09:53,01-02-2026,2343
2560,0.29375431,75299,2125.2599999999993,0.00080198,0.01575613,0.02853449,108.79,10486,5628.2200000000075,0.00039954,-0.99406336,0.01216641,09:53,01-02-2026,2747
2580,0.90397926,82612,2073.6299999999987,0.00109374,0.03353963,0.05388498,128.77,23579,2784.749999999997,0.0,-1.0,0.0,09:53,01-02-2026,3250
2600,0.6636875,172401,4535.069999999998,0.00078843,0.02446517,0.04145791,148.79,64907,6705.060000000039,0.0,-1.0,0.0,09:53,01-02-2026,3781
2620,0.34844007,104700,4775.580000000003,0.00045783,0.01303197,0.02422275,168.77,10139,2384.9999999999964,0.0,-1.0,0.0,09:53,01-02-2026,4129
2640,0.14576481,131114,3681.059999999995,0.00023558,0.00601299,0.01230108,188.77,12790,3084.8999999999946,0.0,-1.0,0.0,09:53,01-02-2026,5494
2660,0.05278346,109138,3814.419999999997,0.00010582,0.00240387,0.00540987,208.79,2585,1600.4299999999994,0.00042108,-0.98456575,0.0280297,09:53,01-02-2026,7074
2680,0.03154018,136713,3588.129999999997,6.489e-05,0.001454,0.00342578,228.77,10660,848.1499999999996,0.0,-1.0,0.0,09:53,01-02-2026,9064
2700,0.13003324,204494,7412.340000000003,0.00014481,0.00447026,0.00944805,248.79,3750,1475.7099999999969,0.0,-1.0,0.0,09:53,01-02-2026,11158
2720,0.15649844,100121,3202.969999999999,0.00014458,0.00491611,0.01028294,268.79,210,308.45,0.0,-1.0,0.0,09:53,01-02-2026,13822
2740,0.0209588,187006,4576.769999999999,3.362e-05,0.00085297,0.00210139,288.79,725,151.70000000000002,0.0,-1.0,0.0,09:53,01-02-2026,16773
2760,0.03644627,135210,2087.4999999999995,4.457e-05,0.00130245,0.00309703,308.77,100,43.68000000000001,0.0,-1.0,0.0,09:53,01-02-2026,20082
2780,0.0208244,183595,3167.989999999999,2.728e-05,0.00076829,0.00190836,328.79,25,31.560000000000002,6.021e-05,-0.99797129,0.00463851,09:53,01-02-2026,23681
2800,0.02075937,273196,5775.1900000000005,2.47e-05,0.00073108,0.00182224,348.79,50,71.15,4.01e-05,-0.99868377,0.00312658,09:53,01-02-2026,27649
2820,0.02786393,167689,2207.3999999999983,2.769e-05,0.00089301,0.0021907,368.81786393,0,8.94,2.885e-05,-0.99906559,0.00228508,09:53,01-02-2026,32162
2840,0.01992304,190574,2055.6399999999994,2.002e-05,0.00064093,0.0016139,388.79,200,0.16999999999999998,0.0,-1.0,0.0,09:53,01-02-2026,37013
