call_mark,call_oi,call_volume,call_gamma,call_delta,call_vega,strike_price,put_gamma,put_delta,put_vega,put_volume,put_oi,put_mark,Expiry,timestamp_IST,max_pain
220.50232679,23,2.85,0.00039602,0.98247861,0.06656,2720,0.00031754,-0.01260799,0.05015203,2273.56,195011,0.45207225,24-01-2026,17:30,2943
180.61446428,3,5.029999999999999,0.0007419,0.96550444,0.11747305,2760,0.00066093,-0.02824841,0.09957368,645.4599999999999,59602,1.09408486,24-01-2026,17:30,1838
142.71451227,139,19.82,0.00138222,0.92845944,0.21005647,2800,0.00132868,-0.06508972,0.19528571,1231.95,81185,2.7507669,24-01-2026,17:30,974
123.93175181,215,4.179999999999999,0.00179905,0.90394297,0.26215788,2820,0.00176812,-0.09081222,0.2515097,223.21999999999997,22052,3.95215397,24-01-2026,17:30,687
105.64676463,152,2.4,0.00232271,0.86900997,0.3271736,2840,0.00230978,-0.12610086,0.31865388,248.69000000000005,13254,5.63370221,24-01-2026,17:30,459
87.95909297,1487,52.94,0.00293566,0.82829611,0.39184477,2860,0.00294739,-0.1732899,0.39409829,409.73999999999995,15649,8.14822993,24-01-2026,17:30,258
71.70965877,1401,19.54,0.00360931,0.76276567,0.47521989,2880,0.00362621,-0.23370324,0.47133991,312.08000000000004,16274,11.62099913,24-01-2026,17:30,97
56.66597175,3440,153.63,0.00425043,0.69076322,0.54223427,2900,0.00425847,-0.30905295,0.5420891,946.9600000000003,16563,16.52758044,24-01-2026,17:30,-37
43.05050282,5191,153.99,0.00474201,0.59955932,0.5945164,2920,0.00477175,-0.39756748,0.59347259,457.8299999999998,10953,23.09638526,24-01-2026,17:30,-130
31.62800763,19708,515.7800000000001,0.00500343,0.50330893,0.61376385,2940,0.00506627,-0.4965314,0.6137651,639.54,14554,31.63963081,24-01-2026,17:30,-187
22.55307569,16346,619.05,0.00489409,0.40258456,0.59533907,2960,0.00495887,-0.59775582,0.59526456,309.9999999999999,8578,42.48229235,24-01-2026,17:30,-155
15.69517267,15666,557.9000000000001,0.00444494,0.3108055,0.54335646,2980,0.00450451,-0.69162397,0.5415359,178.50000000000003,6271,55.63466944,24-01-2026,17:30,-89
10.82298247,38869,1235.43,0.00379784,0.23295198,0.47049855,3000,0.00382701,-0.77083621,0.46622014,229.83999999999997,6108,70.73297078,24-01-2026,17:30,9
7.19475271,13053,469.34000000000003,0.00308163,0.16672783,0.38445894,3020,0.00309282,-0.83761851,0.37797046,73.17000000000002,1270,87.08124158,24-01-2026,17:30,207
4.74572997,30513,391.88,0.00240001,0.11789456,0.30394333,3040,0.00237066,-0.88830031,0.292495,20.230000000000004,1346,104.61758465,24-01-2026,17:30,433
2.99694246,19841,348.17999999999995,0.00179082,0.08032618,0.22943357,3060,0.00171759,-0.92770407,0.21175852,2.6899999999999995,35,122.71255737,24-01-2026,17:30,725
1.89604043,8175,97.78,0.00129074,0.05371341,0.16795778,3080,0.00116904,-0.95585323,0.14360011,9.36,301,141.79656811,24-01-2026,17:30,1062
1.24144173,55863,951.2199999999998,0.000928,0.03665646,0.12347246,3100,0.00073681,-0.97504124,0.0897875,23.059999999999995,30,161.16305454,24-01-2026,17:30,1407
0.78087218,16718,182.5,0.00062887,0.02322502,0.08451819,3120,0.00041984,-0.98734377,0.0503183,0.05,3,180.473964,24-01-2026,17:30,1873
0.57689115,23311,456.87,0.00048479,0.01816082,0.06862087,3140,0.0,-1.0,0.0,,0,200.15000766,24-01-2026,17:30,2368
0.36859547,27376,655.8300000000002,0.00032823,0.01170088,0.04701369,3160,0.0,-1.0,0.0,4.4799999999999995,0,220.15,24-01-2026,17:30,2909
0.25576997,129682,1937.8599999999997,0.00020639,0.00765502,0.03244114,3200,0.0,-1.0,0.0,4.369999999999999,154,260.37,24-01-2026,17:30,4099
