strike_price,contract_type,mark_price,oi_contracts,timestamp_IST,Expiry
85600,put_options,6897.7,139,04:27,03-02-2026
85200,put_options,6497.7,15,04:27,03-02-2026
84800,put_options,6097.3,1,04:27,03-02-2026
84400,put_options,5697.3,30,04:27,03-02-2026
84000,put_options,5297.3,60,04:27,03-02-2026
83800,put_options,5097.3,3,04:27,03-02-2026
83600,put_options,4897.7,0,04:27,03-02-2026
83400,put_options,4697.7,200,04:27,03-02-2026
83200,put_options,4497.6166849,10,04:27,03-02-2026
83000,put_options,4299.39097272,50,04:27,03-02-2026
82800,put_options,4103.26132883,10,04:27,03-02-2026
82600,put_options,3904.39919179,0,04:27,03-02-2026
82400,put_options,3705.8245513,1,04:27,03-02-2026
82000,put_options,3308.54409663,198,04:27,03-02-2026
81800,put_options,3109.89187446,10,04:27,03-02-2026
81600,put_options,2911.94831261,0,04:27,03-02-2026
81400,put_options,2713.67644452,0,04:27,03-02-2026
81200,put_options,2516.16016812,55,04:27,03-02-2026
81000,put_options,2320.52479604,52,04:27,03-02-2026
80800,put_options,2125.7214419,10,04:27,03-02-2026
80600,put_options,1934.5847837,50,04:27,03-02-2026
80400,put_options,1745.98726762,2,04:27,03-02-2026
80200,put_options,1562.10909135,43,04:27,03-02-2026
80000,put_options,1384.71437694,1756,04:27,03-02-2026
79800,put_options,1213.50306145,286,04:27,03-02-2026
79600,put_options,1051.82744715,1470,04:27,03-02-2026
79400,put_options,901.41205336,981,04:27,03-02-2026
79200,put_options,765.63581085,1251,04:27,03-02-2026
79000,put_options,644.92118767,5864,04:27,03-02-2026
78800,put_options,540.62867849,5700,04:27,03-02-2026
78600,put_options,453.19557844,5735,04:27,03-02-2026
78400,put_options,379.88722325,3011,04:27,03-02-2026
78200,put_options,318.81689202,13012,04:27,03-02-2026
78000,put_options,268.23682507,35917,04:27,03-02-2026
77800,put_options,226.10152143,5949,04:27,03-02-2026
77600,put_options,190.85697457,6813,04:27,03-02-2026
77400,put_options,161.89984061,5623,04:27,03-02-2026
77200,put_options,137.73447507,3407,04:27,03-02-2026
77000,put_options,118.2117392,16072,04:27,03-02-2026
76800,put_options,102.06665876,6047,04:27,03-02-2026
76600,put_options,88.50153036,4990,04:27,03-02-2026
76400,put_options,77.26616005,5425,04:27,03-02-2026
76200,put_options,67.1844097,9800,04:27,03-02-2026
76000,put_options,57.1251694,23617,04:27,03-02-2026
75800,put_options,44.12611748,5244,04:27,03-02-2026
75600,put_options,33.76330013,8429,04:27,03-02-2026
75400,put_options,25.4631979,10324,04:27,03-02-2026
75200,put_options,19.16842857,46589,04:27,03-02-2026
75000,put_options,14.60311806,47670,04:27,03-02-2026
74800,put_options,10.56097452,9655,04:27,03-02-2026
74600,put_options,7.71348941,23958,04:27,03-02-2026
74400,put_options,5.53272596,13441,04:27,03-02-2026
74200,put_options,4.22629256,18778,04:27,03-02-2026
74000,put_options,3.16915314,37211,04:27,03-02-2026
73600,put_options,1.8486047,29115,04:27,03-02-2026
73200,put_options,1.68910104,23447,04:27,03-02-2026
72800,put_options,0.76732591,10809,04:27,03-02-2026
72400,put_options,0.71311528,15489,04:27,03-02-2026
72000,put_options,0.839881,114582,04:27,03-02-2026
71600,put_options,0.78608814,47330,04:27,03-02-2026
71200,put_options,1.19402976,181698,04:27,03-02-2026
70800,put_options,5.65679675,362953,04:27,03-02-2026
85600,call_options,0.7762666,271133,04:27,03-02-2026
85200,call_options,0.7547258,55536,04:27,03-02-2026
84800,call_options,1.22042179,32095,04:27,03-02-2026
84400,call_options,1.46524191,23659,04:27,03-02-2026
84000,call_options,1.87341273,95448,04:27,03-02-2026
83800,call_options,2.62776856,11094,04:27,03-02-2026
83600,call_options,3.7635455,12474,04:27,03-02-2026
83400,call_options,4.70680961,12682,04:27,03-02-2026
83200,call_options,6.6090084,8851,04:27,03-02-2026
83000,call_options,8.53636645,51248,04:27,03-02-2026
82800,call_options,11.36308273,8312,04:27,03-02-2026
82600,call_options,13.2587574,4935,04:27,03-02-2026
82400,call_options,14.17982911,11937,04:27,03-02-2026
82200,call_options,16.07669041,24701,04:27,03-02-2026
82000,call_options,16.99844563,98998,04:27,03-02-2026
81800,call_options,18.61862194,9132,04:27,03-02-2026
81600,call_options,19.8139554,10321,04:27,03-02-2026
81400,call_options,21.7358455,12563,04:27,03-02-2026
81200,call_options,24.56961033,6085,04:27,03-02-2026
81000,call_options,28.90195431,80173,04:27,03-02-2026
80800,call_options,34.69033326,31794,04:27,03-02-2026
80600,call_options,42.77154875,10169,04:27,03-02-2026
80400,call_options,54.33321453,13013,04:27,03-02-2026
80200,call_options,70.36680753,8340,04:27,03-02-2026
80000,call_options,92.62475157,74497,04:27,03-02-2026
79800,call_options,121.70329333,5450,04:27,03-02-2026
79600,call_options,159.82223933,14988,04:27,03-02-2026
79400,call_options,209.92845494,11390,04:27,03-02-2026
79200,call_options,273.56844675,15181,04:27,03-02-2026
79000,call_options,353.30113845,60269,04:27,03-02-2026
78800,call_options,449.00933824,7526,04:27,03-02-2026
78600,call_options,561.2132433,4652,04:27,03-02-2026
78400,call_options,688.21790608,25268,04:27,03-02-2026
78200,call_options,827.4300952,2030,04:27,03-02-2026
78000,call_options,976.18709804,11059,04:27,03-02-2026
77800,call_options,1134.38997354,1804,04:27,03-02-2026
77600,call_options,1299.28315688,2023,04:27,03-02-2026
77400,call_options,1470.28547027,2373,04:27,03-02-2026
77200,call_options,1646.22638315,668,04:27,03-02-2026
77000,call_options,1826.3335201,1366,04:27,03-02-2026
76800,call_options,2010.36203065,82,04:27,03-02-2026
76600,call_options,2196.6699711,240,04:27,03-02-2026
76400,call_options,2385.47360444,182,04:27,03-02-2026
76200,call_options,2575.65166856,13,04:27,03-02-2026
76000,call_options,2765.19149583,1200,04:27,03-02-2026
75800,call_options,2951.92595693,1599,04:27,03-02-2026
75600,call_options,3142.18997141,21,04:27,03-02-2026
75400,call_options,3333.80305609,7,04:27,03-02-2026
75200,call_options,3526.9751188,2181,04:27,03-02-2026
75000,call_options,3722.05852996,93,04:27,03-02-2026
74800,call_options,3918.47220514,30,04:27,03-02-2026
74600,call_options,4116.02333653,0,04:27,03-02-2026
74400,call_options,4314.31380079,21,04:27,03-02-2026
74200,call_options,4512.28086786,1,04:27,03-02-2026
74000,call_options,4710.75485492,69,04:27,03-02-2026
73600,call_options,5110.81191778,10,04:27,03-02-2026
73200,call_options,5508.70082956,10,04:27,03-02-2026
72800,call_options,5908.16460122,0,04:27,03-02-2026
72400,call_options,6307.77991596,0,04:27,03-02-2026
72000,call_options,6707.2853716,212,04:27,03-02-2026
71600,call_options,7108.1239437,5,04:27,03-02-2026
71200,call_options,7507.6673105,10,04:27,03-02-2026
70800,call_options,7908.0402387,177,04:27,03-02-2026
82200,put_options,3507.19800251,0,04:27,03-02-2026
7907.58860292,177,1.4860000000000002,0.00000443,0.99501207,0.43616222,70800,0.00000572,-0.00703466,0.59165004,1087.7089999999976,362953,7.90694285,03-02-2026,04:34,0
7506.46166858,10,0.094,0.00000469,0.99496151,0.44028417,71200,0.00000182,-0.00149575,0.14712264,328.42700000000025,181698,1.13710477,03-02-2026,04:34,0
7109.71288689,5,0.013000000000000001,0.00000645,0.99289198,0.59709144,71600,0.00000150,-0.00109355,0.11047970,68.65000000000003,47449,0.74148538,03-02-2026,04:34,0
6709.26292326,212,1.895,0.00000896,0.98965829,0.82982298,72000,0.00000174,-0.00121728,0.12187599,195.53699999999995,114582,0.78929405,03-02-2026,04:34,0
6305.51627888,0,0.002,0.00000668,0.99368158,0.53829075,72400,0.00000171,-0.00111015,0.11204787,163.50999999999996,15489,0.66755773,03-02-2026,04:34,0
5907.41016862,0,0.002,0.00001000,0.99001298,0.80487145,72800,0.00000203,-0.00125431,0.12527002,146.5409999999998,10809,1.02136105,03-02-2026,04:34,0
5509.76905251,10,0.6180000000000001,0.00000787,0.99352186,0.55016091,73200,0.00000391,-0.00259371,0.24256289,128.94899999999998,23447,1.57949332,03-02-2026,04:34,0
5110.39870104,10,0.47600000000000003,0.00001071,0.99113426,0.72514960,73600,0.00000525,-0.00341955,0.31114015,149.93300000000005,29115,1.99153926,03-02-2026,04:34,0
4708.96673562,69,2.694,0.00001471,0.98765579,0.96771571,74000,0.00000762,-0.00498282,0.43578532,337.99600000000004,37211,2.96339407,03-02-2026,04:34,0
4513.78412336,1,0.569,0.00002152,0.97951180,1.49433018,74200,0.00000965,-0.00648870,0.55110863,148.17599999999933,18778,4.02402652,03-02-2026,04:34,0
4311.41757331,21,0.28700000000000003,0.00001874,0.98461520,1.17011543,74400,0.00001188,-0.00806463,0.66750866,54.359000000000194,13441,5.76386377,03-02-2026,04:34,0
4118.07240067,0,0.454,0.00002189,0.98200547,1.33784388,74600,0.00001546,-0.01091456,0.86988016,56.4170000000005,23958,7.82799141,03-02-2026,04:34,0
3919.49236892,30,1.7440000000000002,0.00002478,0.97963162,1.48709732,74800,0.00002034,-0.01501674,1.14614776,95.12100000000031,8450,10.6379825,03-02-2026,04:34,0
3724.1276185,93,5.956999999999998,0.00003046,0.97436859,1.80406916,75000,0.00002629,-0.02027245,1.48052638,186.43400000000065,51674,14.45761603,03-02-2026,04:34,0
3528.1163415,2181,6.347999999999999,0.00003667,0.96825936,2.15515393,75200,0.00003193,-0.02541239,1.79155826,89.83199999999985,46597,19.23856151,03-02-2026,04:34,0
3335.57318872,7,2.1870000000000003,0.00004426,0.95982258,2.61495870,75400,0.00004038,-0.03382614,2.27134806,30.711000000000002,10432,25.61026702,03-02-2026,04:34,0
3143.9916368,21,5.6749999999999945,0.00005239,0.95144136,3.04571751,75600,0.00004981,-0.04401521,2.81471228,39.42799999999999,8433,33.80615578,03-02-2026,04:34,0
2953.04649653,1599,4.382999999999999,0.00006036,0.94235403,3.49104234,75800,0.00005968,-0.05506127,3.36570251,25.795999999999967,5244,44.17639529,03-02-2026,04:34,0
2766.66996623,1200,22.508999999999993,0.00007240,0.92766660,4.16229088,76000,0.00007086,-0.06864403,3.99810103,144.2230000000003,23652,57.20162826,03-02-2026,04:34,0
2576.51569619,13,6.009999999999998,0.00008119,0.91795795,4.58226996,76200,0.00008121,-0.07969166,4.48115060,40.487000000000045,9800,67.26862754,03-02-2026,04:34,0
2387.05726727,182,6.784999999999993,0.00009194,0.90746585,5.01315351,76400,0.00009226,-0.09086291,4.94444219,43.98900000000002,5425,76.77616383,03-02-2026,04:34,0
2197.71387539,240,10.446000000000003,0.00010729,0.88950419,5.70251321,76600,0.00010358,-0.10161632,5.36973734,30.074999999999992,4990,88.4652803,03-02-2026,04:34,0
2011.45170067,82,5.888999999999992,0.00012097,0.87634220,6.17669123,76800,0.00012030,-0.11901076,6.01242544,27.07899999999999,7192,100.76251381,03-02-2026,04:34,0
1827.49682376,1366,39.96000000000001,0.00013826,0.85267565,6.96457216,77000,0.00013832,-0.14104787,6.76249776,117.28199999999998,16072,117.31438031,03-02-2026,04:34,0
1646.33699243,668,11.25899999999999,0.00015587,0.83539877,7.49387695,77200,0.00015475,-0.15805527,7.29935744,19.522999999999996,3407,137.01962741,03-02-2026,04:34,0
1469.69302765,2373,13.987999999999998,0.00017856,0.80662362,8.29210816,77400,0.00017931,-0.18988202,8.20005312,36.404,5623,160.50802483,03-02-2026,04:34,0
1298.93832919,2023,29.220999999999982,0.00019865,0.78208803,8.90529186,77600,0.00020262,-0.22024501,8.95678531,64.00599999999999,6811,188.91458429,03-02-2026,04:34,0
1132.23479281,1804,55.334000000000124,0.00022316,0.74639692,9.68286319,77800,0.00022732,-0.25829454,9.77194719,131.6820000000002,5948,223.68350233,03-02-2026,04:34,0
974.82554906,11175,176.86900000000037,0.00025076,0.70032535,10.50658561,78000,0.00025056,-0.29273707,10.39721658,210.8390000000002,35916,265.96602512,03-02-2026,04:34,0
826.0637058,2030,53.82500000000007,0.00027333,0.65778441,11.10816664,78200,0.00027717,-0.34393201,11.12726932,57.50699999999999,12961,316.00515626,03-02-2026,04:34,0
687.19344236,25268,123.27500000000015,0.00029614,0.60458334,11.64778474,78400,0.00030004,-0.40346954,11.70497487,89.90999999999998,3011,376.64515093,03-02-2026,04:34,0
559.16661757,4632,85.42100000000048,0.00031370,0.54516357,11.98718033,78600,0.00031683,-0.46366753,12.00959545,68.51700000000001,5956,449.5942866,03-02-2026,04:34,0
447.84225501,7343,82.02900000000014,0.00032342,0.48144507,12.05150680,78800,0.00032696,-0.52292351,12.04259411,50.70400000000002,5704,537.71850542,03-02-2026,04:34,0
351.39625653,60270,276.7060000000006,0.00031909,0.40678597,11.72891135,79000,0.00032538,-0.59525928,11.71416849,93.63300000000007,5878,641.2472815,03-02-2026,04:34,0
272.98356674,15181,82.7070000000001,0.00031019,0.35147820,11.21869754,79200,0.00031113,-0.65782471,11.10427888,42.351000000000006,1251,762.44749914,03-02-2026,04:34,0
208.51230805,11390,43.93900000000003,0.00028797,0.29116144,10.37114547,79400,0.00029036,-0.71467707,10.27134782,5.219999999999999,981,898.45106798,03-02-2026,04:34,0
159.3457695,14988,46.98200000000004,0.00025390,0.23060355,9.19253437,79600,0.00025745,-0.77155333,9.14528100,7.856,1503,1048.31096539,03-02-2026,04:34,0
121.39024834,5450,44.69500000000006,0.00022159,0.18548569,8.08219664,79800,0.00022231,-0.81862360,7.97014351,1.6150000000000004,286,1211.31765808,03-02-2026,04:34,0
92.14673977,81170,383.71700000000055,0.00019058,0.14841004,6.99917722,80000,0.00019154,-0.85332542,6.94491083,19.431999999999977,1756,1382.29359526,03-02-2026,04:34,0
70.21029257,8154,57.669,0.00015875,0.11666520,5.92778456,80200,0.00016140,-0.88480729,5.87692748,0.068,43,1562.44137572,03-02-2026,04:34,0
54.02299866,13013,48.85499999999998,0.00013223,0.09322463,5.03889352,80400,0.00012858,-0.91385561,4.75128390,0.8130000000000001,6,1745.17250587,03-02-2026,04:34,0
42.42275185,9887,52.16300000000002,0.00011173,0.07610024,4.32866946,80600,0.00010724,-0.93002379,4.05869313,0.41900000000000004,50,1932.34546156,03-02-2026,04:34,0
33.99124201,31791,71.00299999999997,0.00009018,0.06008154,3.60498214,80800,0.00008383,-0.94906193,3.16496021,1.4339999999999995,10,2124.6103488,03-02-2026,04:34,0
28.21746796,80173,254.77100000000004,0.00007718,0.05114944,3.17595484,81000,0.00007798,-0.94776982,3.22917299,3.4549999999999987,52,2320.46643193,03-02-2026,04:34,0
24.2582793,6085,42.859000000000044,0.00006538,0.04356798,2.79273934,81200,0.00004690,-0.97500797,1.76644864,0.024,55,2513.37431419,03-02-2026,04:34,0
21.26996233,12861,58.03600000000007,0.00005413,0.03620917,2.40177418,81400,0.00003638,-0.98109285,1.39555265,0.066,0,2710.72209799,03-02-2026,04:34,0
19.33301773,10313,52.946000000000026,0.00004873,0.03348604,2.25334988,81600,0.00004098,-0.97489412,1.77376596,0.24,0,2909.40952129,03-02-2026,04:34,0
17.81817473,9132,43.49000000000002,0.00004216,0.02948715,2.02811283,81800,0.00003415,-0.97880438,1.53743941,0.012,10,3104.82498342,03-02-2026,04:34,0
16.3565985,99001,328.82200000000034,0.00003633,0.02575775,1.81150522,82000,0.00002998,-0.98095345,1.40417074,4.314,246,3306.68468335,03-02-2026,04:34,0
15.09548323,24707,59.91199999999999,0.00003254,0.02357258,1.68184866,82200,0.00001284,-0.99381607,0.52797000,,0,3503.36935318,03-02-2026,04:34,0
14.04062333,11937,49.766999999999754,0.00002915,0.02152854,1.55817305,82400,0.00002446,-0.98347624,1.24401078,0.06,1,3703.89703454,03-02-2026,04:34,0
12.25241589,8934,15.020999999999969,0.00002488,0.01837720,1.36205200,82600,0.00001578,-0.99053630,0.76788255,0.002,0,3902.42460633,03-02-2026,04:34,0
11.04484734,8312,61.342999999999975,0.00002220,0.01659989,1.24890938,82800,0.00001457,-0.99099977,0.73507812,0.01,10,4101.43216574,03-02-2026,04:34,0
9.09997597,50002,313.103,0.00001876,0.01377255,1.06410003,83000,0.00000949,-0.99458793,0.46901448,0.9940000000000001,50,4296.85813432,03-02-2026,04:34,0
7.03440242,8851,27.159999999999997,0.00001524,0.01091921,0.87010268,83200,0.00000000,-1.00000000,0.00000000,0.41000000000000003,10,4496.01014543,03-02-2026,04:34,0
5.02723423,12682,34.839999999999996,0.00001173,0.00807246,0.66797541,83400,0.00000000,-1.00000000,0.00000000,0.42,200,4695.90000222,03-02-2026,04:34,0
4.02388392,12474,63.465999999999994,0.00000964,0.00653412,0.55436344,83600,0.00000000,-1.00000000,0.00000000,0.27599999999999997,0,4895.9,03-02-2026,04:34,0
2.82446271,11094,28.56199999999999,0.00000727,0.00473409,0.41632104,83800,0.00000000,-1.00000000,0.00000000,0.723,3,5095.9,03-02-2026,04:34,0
2.01512607,95448,294.0140000000001,0.00000553,0.00348202,0.31623773,84000,0.00000000,-1.00000000,0.00000000,0.157,60,5295.9,03-02-2026,04:34,0
1.57094632,23659,60.81299999999999,0.00000421,0.00268001,0.24984757,84400,0.00000000,-1.00000000,0.00000000,0.18000000000000002,30,5695.9,03-02-2026,04:34,0
1.30701261,32095,146.03800000000007,0.00000334,0.00217604,0.20691742,84800,0.00000000,-1.00000000,0.00000000,0.020999999999999998,1,6095.9,03-02-2026,04:34,0
0.80546745,53536,180.72200000000007,0.00000217,0.00137073,0.13585205,85200,0.00000000,-1.00000000,0.00000000,0.28700000000000003,15,6495.9,03-02-2026,04:34,0
0.80440924,271133,990.178999999999,0.00000197,0.00130633,0.13000833,85600,0.00000000,-1.00000000,0.00000000,1.561,139,6895.9,03-02-2026,04:34,0
