call_mark,call_oi,call_volume,call_gamma,call_delta,call_vega,strike_price,put_gamma,put_delta,put_vega,put_volume,put_oi,put_mark,Expiry,timestamp_IST,max_pain
5934.22255035,1,0.003,3.305e-05,0.92446987,7.13928461,62000,3.21e-05,-0.06994101,6.73086221,29.255000000000003,8683,132.39894032,11-03-2026,17:31,4384
5555.80476453,10,0.01,3.743e-05,0.91345413,7.91205908,62400,3.648e-05,-0.08069123,7.50763027,2.363,1322,155.01413324,11-03-2026,17:31,3586
5182.86549584,44,0.046,4.218e-05,0.90127978,8.72269684,62800,4.154e-05,-0.09349611,8.38085772,0.464,408,181.42213018,11-03-2026,17:31,2940
4813.06622576,0,,4.78e-05,0.88598714,9.67736464,63200,4.733e-05,-0.10885563,9.36210497,1.616,767,212.06893272,11-03-2026,17:31,2343
4448.40721194,112,0.31400000000000006,5.381e-05,0.86940876,10.64516435,63600,5.335e-05,-0.12514141,10.33635272,0.7849999999999999,680,247.33358003,11-03-2026,17:31,1746
4089.47012557,0,,6.042e-05,0.84877626,11.75931906,64000,6.012e-05,-0.14367186,11.36478525,2.3890000000000002,954,287.5935791,11-03-2026,17:31,1229
3735.99045191,3,0.003,6.735e-05,0.83023327,12.68513166,64400,6.769e-05,-0.16630946,12.51629678,3.019,128,334.5402789,11-03-2026,17:31,690
3393.521054,0,,7.518e-05,0.80458896,13.84861267,64800,7.558e-05,-0.19155517,13.68116741,1.491,203,391.24396677,11-03-2026,17:31,180
3226.18695767,50,0.607,7.901e-05,0.79197321,14.37966109,65000,7.959e-05,-0.20604353,14.29603081,3.6929999999999996,95,424.96080171,11-03-2026,17:31,-77
3064.9593967,0,0.074,8.29e-05,0.77649724,14.99048705,65200,8.364e-05,-0.22166886,14.91750955,0.07800000000000001,7,463.04593222,11-03-2026,17:31,-311
2905.1663151,0,0.028,8.69e-05,0.76057515,15.57664154,65400,8.766e-05,-0.23609753,15.45745905,1.0790000000000002,63,504.20080463,11-03-2026,17:31,-558
2745.52335522,10,0.494,9.085e-05,0.74404132,16.1425655,65600,9.173e-05,-0.25282162,16.03852203,4.212,160,543.75665497,11-03-2026,17:31,-806
2585.42651362,0,,9.539e-05,0.72674621,16.6858899,65800,9.623e-05,-0.26922258,16.56538185,0.03899999999999999,9,583.00365666,11-03-2026,17:31,-1053
2427.30293076,44,2.6709999999999994,9.969e-05,0.70919159,17.19387869,66000,0.00010061,-0.28709787,17.09307389,3.7039999999999997,376,625.89352803,11-03-2026,17:31,-1295
2280.82018022,20,0.32200000000000006,0.00010371,0.69008647,17.69545183,66200,0.00010513,-0.30737927,17.63158637,0.9770000000000001,136,678.11137991,11-03-2026,17:31,-1541
2139.28904082,301,3.8389999999999995,0.00010718,0.67079914,18.15229407,66400,0.0001085,-0.32706358,18.10456715,9.642,121,737.75356796,11-03-2026,17:31,-1775
2002.10111643,27,1.841,0.00011066,0.64784024,18.62134422,66600,0.00011214,-0.3500328,18.58106994,1.111,192,799.97109089,11-03-2026,17:31,-1941
1867.27847921,206,5.3629999999999995,0.00011388,0.62637251,18.99995883,66800,0.00011544,-0.37209991,18.97505348,2.319,908,864.54235611,11-03-2026,17:31,-2168
1736.02881214,1681,7.159999999999998,0.0001169,0.60367249,19.33275295,67000,0.00011871,-0.39360709,19.29955673,5.966999999999999,1814,933.76832417,11-03-2026,17:31,-2403
1611.69075076,405,5.061999999999999,0.00011949,0.58055553,19.60332015,67200,0.00012131,-0.41734014,19.58442896,2.8290000000000006,363,1010.16744226,11-03-2026,17:31,-2405
1495.45425164,399,8.181999999999999,0.00012149,0.55648717,19.81155468,67400,0.0001233,-0.44172867,19.80169978,4.933999999999999,629,1093.53944213,11-03-2026,17:31,-2486
1381.37828851,256,1.6660000000000001,0.00012315,0.53329545,19.9458763,67600,0.00012491,-0.46787847,19.94735794,6.481999999999999,1450,1179.31392015,11-03-2026,17:31,-2584
1273.09282297,850,1.9570000000000003,0.00012434,0.50865408,20.01118284,67800,0.00012627,-0.49326695,20.00885088,0.4610000000000001,225,1270.52838929,11-03-2026,17:31,-2774
1168.06394967,5220,10.18,0.00012522,0.48180223,19.99087804,68000,0.00012721,-0.51697853,19.99787971,2.649,5064,1365.33715869,11-03-2026,17:31,-2728
1066.18187693,675,0.7210000000000001,0.00012523,0.45685061,19.89511963,68200,0.00012779,-0.54282358,19.90058164,1.1969999999999998,539,1462.85620437,11-03-2026,17:31,-2637
970.3469312,565,0.637,0.00012572,0.43256649,19.72932425,68400,0.00012753,-0.56870001,19.71848652,0.229,24,1568.21150901,11-03-2026,17:31,-2447
886.08258696,501,0.18000000000000002,0.00012455,0.40726435,19.47238895,68600,0.00012618,-0.59578847,19.43247457,0.038,0,1683.26067522,11-03-2026,17:31,-2188
810.36573156,10403,13.881,0.00012248,0.38303965,19.14945412,68800,0.00012427,-0.61909768,19.11725037,0.15,100,1807.87829154,11-03-2026,17:31,-1925
741.09653865,8,0.01,0.00011963,0.35771958,18.72509771,69000,0.00012138,-0.64492831,18.6762042,0.060000000000000005,50,1937.73553556,11-03-2026,17:31,-671
675.14085623,341,1.266,0.00011698,0.33579796,18.29519186,69200,0.00011822,-0.66804307,18.20949418,0.5900000000000001,103,2072.45455682,11-03-2026,17:31,-251
554.75028406,216,0.385,0.00010983,0.29002584,17.1713389,69600,0.00011131,-0.71361184,17.07018545,0.136,24,2351.91816702,11-03-2026,17:31,628
446.19915574,8843,13.710999999999999,0.00010242,0.24852968,15.89373568,70000,0.00010313,-0.75713351,15.695328,1.1260000000000001,67,2643.00610587,11-03-2026,17:31,1521
344.25592614,1032,1.4380000000000002,9.36e-05,0.20550783,14.27396334,70400,9.411e-05,-0.80019897,14.03532999,,0,2940.67057676,11-03-2026,17:31,3141
267.37308786,2166,14.278,8.4e-05,0.16993564,12.69329733,70800,8.367e-05,-0.83806174,12.30127996,0.002,0,3264.06298769,11-03-2026,17:31,4462
207.47806791,12782,46.01099999999999,7.38e-05,0.13930294,11.12943397,71200,7.322e-05,-0.86815704,10.71747476,0.36200000000000004,110,3604.36188621,11-03-2026,17:31,5891
6001.82560293,1,0.003,3.238e-05,0.92580901,7.04759321,62000,3.118e-05,-0.06770011,6.56973319,29.255000000000003,8683,129.55723562,11-03-2026,17:33,4351
5621.82341283,10,0.01,3.646e-05,0.91631972,7.72069636,62400,3.558e-05,-0.0781911,7.33556389,2.363,1322,150.14987366,11-03-2026,17:33,3547
5246.88613545,44,0.046,4.122e-05,0.90416844,8.54015777,62800,4.052e-05,-0.09044902,8.18294175,0.464,408,174.80306221,11-03-2026,17:33,2894
4877.64360815,0,,4.7e-05,0.88686937,9.629662,63200,4.618e-05,-0.10510635,9.13439498,1.616,767,204.88177131,11-03-2026,17:33,2290
4511.73610543,112,0.31400000000000006,5.277e-05,0.87062971,10.58354814,63600,5.22e-05,-0.1214882,10.13042622,0.7849999999999999,680,239.59369756,11-03-2026,17:33,1685
4151.76079743,0,,5.894e-05,0.85531147,11.4266711,64000,5.888e-05,-0.14014924,11.18259124,2.3890000000000002,954,279.32750101,11-03-2026,17:33,1161
3798.43035851,3,0.003,6.602e-05,0.83480464,12.47249824,64400,6.622e-05,-0.16192212,12.31034999,3.019,328,325.66771592,11-03-2026,17:33,615
3453.67900122,0,,7.356e-05,0.81004936,13.62228632,64800,7.406e-05,-0.18653801,13.46903209,1.491,203,381.04878495,11-03-2026,17:33,98
3285.3975817,50,0.607,7.758e-05,0.79677897,14.1907108,65000,7.8e-05,-0.19923226,14.02358135,3.6929999999999996,95,412.67699453,11-03-2026,17:33,-159
3120.41802911,0,0.074,8.164e-05,0.78261617,14.7633381,65200,8.227e-05,-0.21413524,14.63427302,0.07800000000000001,7,446.83592234,11-03-2026,17:33,-392
2955.79138816,0,0.028,8.573e-05,0.76751884,15.33614325,65400,8.643e-05,-0.22912553,15.21204814,1.0790000000000002,63,483.65719088,11-03-2026,17:33,-639
2796.60992284,10,0.494,8.982e-05,0.75142738,15.90553215,65600,9.068e-05,-0.24534986,15.79468482,4.212,160,523.20893339,11-03-2026,17:33,-887
2640.53774566,0,,9.388e-05,0.73366727,16.48512458,65800,9.483e-05,-0.2628164,16.37497398,0.03899999999999999,9,567.5484743,11-03-2026,17:33,-1134
2486.57876906,44,2.6709999999999994,9.801e-05,0.71521528,17.03600586,66000,9.892e-05,-0.28117526,16.93434523,3.7039999999999997,376,614.65163504,11-03-2026,17:33,-1376
2337.65402573,20,0.32200000000000006,0.00010178,0.69597065,17.55826879,66200,0.00010294,-0.2999488,17.45513357,0.9770000000000001,136,665.0252804,11-03-2026,17:33,-1621
2192.39217299,301,3.8389999999999995,0.00010562,0.67748037,18.01244951,66400,0.00010692,-0.32017494,17.95802311,9.642,121,719.32329202,11-03-2026,17:33,-1855
2050.58681176,27,1.841,0.00010911,0.65556998,18.48355349,66600,0.00011094,-0.34189443,18.43215065,1.111,192,778.36821632,11-03-2026,17:33,-2019
1915.83133466,206,5.3629999999999995,0.00011272,0.63480676,18.87259944,66800,0.00011428,-0.36348189,18.84279794,2.319,908,841.94795053,11-03-2026,17:33,-2246
1783.22935078,1681,7.159999999999998,0.00011596,0.61269997,19.22290294,67000,0.00011745,-0.38543997,19.19737681,5.966999999999999,1814,909.98208678,11-03-2026,17:33,-2477
1656.59552424,405,5.061999999999999,0.00011867,0.59047887,19.51236203,67200,0.00012029,-0.40882528,19.50359176,2.8290000000000006,363,983.16603675,11-03-2026,17:33,-2467
1534.08457409,399,8.181999999999999,0.00012067,0.56448942,19.7622486,67400,0.00012281,-0.43266431,19.74344856,4.933999999999999,629,1060.35882506,11-03-2026,17:33,-2545
1415.26792203,256,1.6660000000000001,0.00012327,0.5421457,19.91688744,67600,0.00012512,-0.45853813,19.91796909,6.481999999999999,1451,1141.99863644,11-03-2026,17:33,-2640
1302.05071868,852,1.9570000000000003,0.00012499,0.51734045,20.00980507,67800,0.00012679,-0.48370435,20.00957042,0.4610000000000001,226,1228.49714328,11-03-2026,17:33,-2824
1192.69650741,5220,10.18,0.00012627,0.49106826,20.02120221,68000,0.00012806,-0.50827222,20.02445168,2.649,5064,1318.91017232,11-03-2026,17:33,-2774
1090.77450002,676,0.7210000000000001,0.00012687,0.46692006,19.96065873,68200,0.00012873,-0.53417359,19.95531831,1.1969999999999998,539,1417.51708789,11-03-2026,17:33,-2647
996.11842274,565,0.637,0.00012669,0.44095898,19.80901843,68400,0.0001285,-0.5600772,19.80142722,0.229,24,1521.18601117,11-03-2026,17:33,-2453
910.68935731,501,0.18000000000000002,0.00012559,0.41573721,19.58040404,68600,0.00012734,-0.5863229,19.55676757,0.038,0,1636.38244319,11-03-2026,17:33,-2192
833.81441591,10403,13.881,0.00012352,0.39119559,19.27907488,68800,0.00012542,-0.61088742,19.24996236,0.15,100,1759.87459321,11-03-2026,17:33,-1927
762.17353052,8,0.01,0.00012112,0.36647721,18.89478423,69000,0.00012257,-0.63552861,18.86015924,0.060000000000000005,50,1889.00787108,11-03-2026,17:33,-649
693.69115291,341,1.266,0.00011841,0.34343353,18.46584837,69200,0.00012003,-0.65890225,18.41888442,0.5900000000000001,103,2020.22364304,11-03-2026,17:33,-228
569.7790452,216,0.385,0.00011168,0.29762254,17.39148037,69600,0.0001134,-0.70838066,17.22634966,0.136,24,2295.61916643,11-03-2026,17:33,652
456.97749127,8843,13.710999999999999,0.00010428,0.25411311,16.09181156,70000,0.00010527,-0.74944516,15.97326413,1.1260000000000001,67,2583.0780435,11-03-2026,17:33,1546
354.20016389,1032,1.4380000000000002,9.581e-05,0.21159681,14.53415849,70400,9.618e-05,-0.7937928,14.31315937,,0,2879.85845106,11-03-2026,17:33,3176
275.2083056,2166,14.278,8.584e-05,0.17423315,12.90561315,70800,8.58e-05,-0.83158148,12.62750989,0.002,0,3200.7621091,11-03-2026,17:33,4497
213.48461492,12782,46.01099999999999,7.546e-05,0.14233228,11.30026904,71200,7.487e-05,-0.86608231,10.84023505,0.36200000000000004,110,3538.49888169,11-03-2026,17:33,5928
6207.65322932,1,0.003,3.014e-05,0.93171003,6.60536166,62000,2.904e-05,-0.06247457,6.16465108,29.655,8740,117.74698962,11-03-2026,17:58,1520
5827.62685282,10,0.01,3.41e-05,0.9221923,7.29916134,62400,3.319e-05,-0.07238474,6.90785658,2.363,1322,136.83971381,11-03-2026,17:58,890
5450.00388211,44,0.046,3.87e-05,0.91045523,8.11141711,62800,3.781e-05,-0.08356945,7.70375164,0.464,408,159.32650071,11-03-2026,17:58,404
5075.58647143,0,,4.361e-05,0.8982317,8.91300827,63200,4.301e-05,-0.09656595,8.5773661,1.6360000000000001,752,185.21887007,11-03-2026,17:58,-34
4705.35482915,112,0.31400000000000006,4.92e-05,0.88384473,9.80195926,63600,4.883e-05,-0.11145656,9.51725878,0.885,680,215.30967469,11-03-2026,17:58,-473
4340.85243656,0,,5.541e-05,0.86676992,10.78856318,64000,5.524e-05,-0.12865449,10.53057677,2.4139999999999997,954,250.54053049,11-03-2026,17:58,-829
3983.46608603,3,0.003,6.225e-05,0.84678279,11.85710238,64400,6.222e-05,-0.14870595,11.62368767,3.219,328,293.32108603,11-03-2026,17:58,-1209
3635.42194882,0,,6.962e-05,0.82454195,12.94679909,64800,6.985e-05,-0.17135119,12.75293144,1.491,203,343.83982419,11-03-2026,17:58,-1560
3464.00402554,50,0.607,7.351e-05,0.81211285,13.51350247,65000,7.391e-05,-0.18388072,13.33336583,3.6929999999999996,168,372.3845832,11-03-2026,17:58,-1734
3295.47949958,0,0.074,7.749e-05,0.79782809,14.12815855,65200,7.787e-05,-0.19777128,13.94362445,0.07700000000000001,7,404.37282227,11-03-2026,17:58,-1885
3129.6820637,0,0.028,8.145e-05,0.78384998,14.69642547,65400,8.207e-05,-0.21284798,14.56466089,1.121,63,437.84567523,11-03-2026,17:58,-2048
2965.83883522,10,0.494,8.553e-05,0.76796529,15.29955837,65600,8.619e-05,-0.22802109,15.15198169,4.212,160,473.85826065,11-03-2026,17:58,-2213
2803.90918056,0,,8.964e-05,0.75266288,15.84341028,65800,9.047e-05,-0.2441648,15.73386836,0.13899999999999998,109,512.92035832,11-03-2026,17:58,-2375
2646.74819339,44,2.6719999999999997,9.383e-05,0.73595388,16.39361252,66000,9.48e-05,-0.26139129,16.30826976,3.7039999999999997,376,555.71894128,11-03-2026,17:58,-2537
2493.97541688,20,0.32200000000000006,9.798e-05,0.7181277,16.93323286,66200,9.905e-05,-0.27901277,16.85007465,0.9770000000000001,136,603.12759348,11-03-2026,17:58,-2693
2345.37388473,301,3.8389999999999995,0.00010218,0.69932067,17.45089086,66400,0.00010332,-0.29833406,17.38885522,9.642,121,653.54018343,11-03-2026,17:58,-2841
2197.63093101,27,1.841,0.00010599,0.67973354,17.93752462,66600,0.00010719,-0.31804761,17.88535883,1.113,192,707.15778689,11-03-2026,17:58,-2914
2055.00074947,206,5.3629999999999995,0.00010954,0.65887512,18.39567593,66800,0.00011099,-0.33903621,18.352529,3.1420000000000003,1018,763.94101837,11-03-2026,17:58,-3053
1914.06654593,1706,7.184999999999999,0.00011317,0.63741377,18.804884,67000,0.00011462,-0.36118261,18.77929387,5.85,1815,823.21618725,11-03-2026,17:58,-3196
1779.34002553,384,5.094,0.00011644,0.61524577,19.16321297,67200,0.00011809,-0.38386974,19.14887287,3.0460000000000003,260,888.13914689,11-03-2026,17:58,-3055
1649.10301632,519,8.282,0.00011956,0.59225524,19.46646329,67400,0.00012126,-0.40676097,19.45468969,5.034,587,957.94012299,11-03-2026,17:58,-3034
1526.17141726,427,1.7970000000000002,0.00012213,0.56803627,19.71120637,67600,0.00012391,-0.43086464,19.70275469,6.510999999999999,1476,1033.8981595,11-03-2026,17:58,-3006
