strike_price,contract_type,mark_price,oi_contracts,timestamp_IST,Expiry
2700,put_options,352.76301345,0,04:27,03-02-2026
2680,put_options,332.67671914,0,04:27,03-02-2026
2620,put_options,272.62,5001,04:27,03-02-2026
2600,put_options,252.62,1,04:27,03-02-2026
2580,put_options,232.62,20,04:27,03-02-2026
2560,put_options,212.62,140,04:27,03-02-2026
2540,put_options,192.62,6,04:27,03-02-2026
2520,put_options,172.62,5,04:27,03-02-2026
2500,put_options,152.62337561,660,04:27,03-02-2026
2480,put_options,132.71991122,680,04:27,03-02-2026
2460,put_options,113.19823687,184,04:27,03-02-2026
2440,put_options,93.97842926,210,04:27,03-02-2026
2420,put_options,75.3954504,513,04:27,03-02-2026
2400,put_options,58.28680017,5983,04:27,03-02-2026
2380,put_options,42.89510358,13391,04:27,03-02-2026
2360,put_options,29.91756848,8829,04:27,03-02-2026
2340,put_options,19.70044824,11271,04:27,03-02-2026
2320,put_options,12.29770528,31259,04:27,03-02-2026
2300,put_options,7.18133669,187452,04:27,03-02-2026
2280,put_options,3.97447102,43803,04:27,03-02-2026
2260,put_options,2.07268269,43057,04:27,03-02-2026
2240,put_options,1.04223406,62356,04:27,03-02-2026
2220,put_options,0.47228455,61157,04:27,03-02-2026
2200,put_options,0.26242439,165671,04:27,03-02-2026
2180,put_options,0.08427325,93983,04:27,03-02-2026
2160,put_options,0.17225397,77684,04:27,03-02-2026
2140,put_options,0.31733378,87987,04:27,03-02-2026
2120,put_options,0.83877239,163655,04:27,03-02-2026
2100,put_options,0.16671908,293876,04:27,03-02-2026
2080,put_options,0.55949064,167037,04:27,03-02-2026
2040,put_options,0.24901336,283555,04:27,03-02-2026
2000,put_options,0.0715184,571703,04:27,03-02-2026
2800,call_options,0.05458811,201880,04:27,03-02-2026
2760,call_options,0.02656113,20182,04:27,03-02-2026
2740,call_options,0.05844352,8482,04:27,03-02-2026
2720,call_options,0.05781497,34731,04:27,03-02-2026
2700,call_options,0.14398726,259548,04:27,03-02-2026
2680,call_options,0.05780685,30119,04:27,03-02-2026
2660,call_options,0.06604195,47563,04:27,03-02-2026
2640,call_options,1.36858294,126503,04:27,03-02-2026
2620,call_options,0.03512424,112204,04:27,03-02-2026
2600,call_options,0.04670875,151431,04:27,03-02-2026
2580,call_options,0.1756421,109015,04:27,03-02-2026
2560,call_options,0.35260207,108974,04:27,03-02-2026
2540,call_options,0.24746141,115106,04:27,03-02-2026
2520,call_options,0.13493593,45414,04:27,03-02-2026
2500,call_options,0.59898272,159345,04:27,03-02-2026
