call_mark,call_oi,call_volume,call_gamma,call_delta,call_vega,strike_price,put_gamma,put_delta,put_vega,put_volume,put_oi,put_mark,Expiry,timestamp_IST,max_pain
157.69739287,52,82.28,0.00029681,0.9928056,0.01337146,1960,0.00065018,-0.02253504,0.03587382,14631.079999999918,343039,0.69385836,05-02-2026,08:44,8035
118.10872227,264,126.54000000000002,0.00102237,0.97142673,0.04376402,2000,0.00155724,-0.06423808,0.08416653,17058.650000000067,301959,2.29520941,05-02-2026,08:44,4178
99.27117118,507,9.56,0.0017702,0.94468921,0.07484669,2020,0.00169961,-0.05133002,0.0705577,2371.86,207496,1.34452896,05-02-2026,08:44,2799
80.53183396,1,24.43,0.00284334,0.89858228,0.11874529,2040,0.00276753,-0.09586279,0.11398832,8966.28000000003,119873,2.76653188,05-02-2026,08:44,1880
62.93082756,119,118.81,0.00409271,0.83495863,0.16629328,2060,0.00408836,-0.1644666,0.16592337,3415.2099999999978,86536,5.23687152,05-02-2026,08:44,1190
47.12231629,3328,193.25000000000006,0.00538537,0.73868587,0.21781963,2080,0.00542563,-0.2595927,0.21707815,7701.750000000009,50190,9.29244318,05-02-2026,08:44,662
33.26513815,7559,825.4699999999991,0.00643376,0.62375728,0.25429143,2100,0.00645292,-0.37702934,0.25444188,9034.220000000058,87958,15.31781804,05-02-2026,08:44,255
22.0311862,26196,1369.7599999999961,0.00682053,0.49112054,0.26720013,2120,0.00687408,-0.51336632,0.26704955,4537.080000000008,28966,24.29847233,05-02-2026,08:44,-40
13.66212836,34065,2256.439999999997,0.00640413,0.35339169,0.2489419,2140,0.00648648,-0.64540409,0.24930209,4889.359999999981,26025,35.87071435,05-02-2026,08:44,-128
7.86566429,27184,2116.8799999999974,0.00535132,0.23593381,0.20627825,2160,0.00534623,-0.76191912,0.20733241,3690.339999999988,17313,50.10285434,05-02-2026,08:44,-130
4.22118384,44651,3001.7599999999943,0.00395904,0.14432485,0.1521832,2180,0.00394978,-0.85711874,0.15115011,1942.9599999999955,4386,66.38717303,05-02-2026,08:44,-61
2.09440313,102205,7585.2400000000125,0.00262717,0.08240933,0.1018244,2200,0.00252715,-0.92504132,0.09476072,4695.759999999997,9362,84.1934681,05-02-2026,08:44,161
0.98863989,30350,5595.790000000001,0.00154691,0.04133577,0.05928482,2220,0.00147511,-0.96188119,0.05549579,1253.139999999999,4202,103.23338988,05-02-2026,08:44,559
0.46085181,83983,4527.410000000004,0.00089338,0.02201438,0.03517371,2240,0.00058306,-0.98829158,0.02047585,1252.7099999999991,2082,122.52243162,05-02-2026,08:44,1043
0.24687259,80873,3865.6199999999853,0.00052628,0.01239303,0.02151523,2260,0.00019558,-0.99672789,0.00662577,1012.3599999999988,3740,142.50305027,05-02-2026,08:44,1718
0.14471175,113617,2567.399999999984,0.00031994,0.00738715,0.01368681,2280,0.0,-1.0,0.0,1608.63,7051,162.35000197,05-02-2026,08:44,2532
0.07829048,276767,9222.170000000078,0.00017799,0.00392177,0.00779726,2300,0.00020703,-0.99522045,0.00930431,355.79999999999995,360,182.35,05-02-2026,08:44,3526
0.13040368,52100,2190.95999999999,0.00021409,0.00569922,0.01088176,2320,0.0,-1.0,0.0,69.42999999999999,15,202.35,05-02-2026,08:44,5183
0.0605878,78360,1968.539999999995,0.00011554,0.00286993,0.0058886,2340,0.0,-1.0,0.0,16.689999999999998,55,222.35,05-02-2026,08:44,6949
0.05739156,103406,4113.700000000001,9.591e-05,0.00251076,0.00521883,2360,0.0,-1.0,0.0,47.31,540,242.35,05-02-2026,08:44,8871
0.06280677,58360,1115.45,9.033e-05,0.00256186,0.00531391,2380,0.0,-1.0,0.0,8.339999999999998,8,262.35,05-02-2026,08:44,10989
0.01899065,201942,4463.089999999998,3.544e-05,0.00087617,0.00199757,2400,0.0,-1.0,0.0,9.569999999999999,405,282.35,05-02-2026,08:44,13236
0.05508627,58782,1179.1000000000004,6.588e-05,0.00203262,0.00430928,2420,0.0,-1.0,0.0,2.07,5,302.35,05-02-2026,08:44,15877
0.04771132,154966,2123.6499999999924,5.44e-05,0.00172465,0.00371136,2440,1.732e-05,-0.99956807,0.00103924,0.12,9,322.35,05-02-2026,08:44,18646
0.01418235,183667,2706.4699999999916,2.118e-05,0.00058619,0.00137876,2460,0.0,-1.0,0.0,8.189999999999998,5,342.35,05-02-2026,08:44,21726
0.0528722,200451,3116.79999999999,4.854e-05,0.00170962,0.0036824,2480,4.7e-05,-0.9983568,0.00355157,0.02,0,362.3970225,05-02-2026,08:44,25173
0.04876814,313603,3982.6599999999935,3.844e-05,0.00144213,0.00315315,2520,3.804e-05,-0.99857559,0.00311757,,0,402.39856919,05-02-2026,08:44,32869
0.014331,401723,6860.680000000091,1.417e-05,0.00047964,0.0011452,2560,1.328e-05,-0.99955599,0.00106633,,0,442.36233711,05-02-2026,08:44,41820
