call_mark,call_oi,call_volume,call_gamma,call_delta,call_vega,strike_price,put_gamma,put_delta,put_vega,put_volume,put_oi,put_mark,Expiry,timestamp_IST,max_pain
153.22058991,2,5.59,0.00112194,0.9451411,0.19307836,2200,0.00102007,-0.04507953,0.16506342,143.12,6954,1.76617347,19-04-2026,17:34,479
133.79572835,0,,0.00144607,0.9303685,0.23257075,2220,0.00136471,-0.06082425,0.20940082,28.2,1342,2.36195152,19-04-2026,17:34,370
114.73836613,10,0.31,0.00190318,0.90752436,0.28816587,2240,0.00184275,-0.0838287,0.26782867,113.72000000000001,2916,3.27730257,19-04-2026,17:34,264
96.21259539,100,7.88,0.00251469,0.87335288,0.36130034,2260,0.0024896,-0.11916789,0.34620401,96.57,4215,4.7841716,19-04-2026,17:34,163
78.63774865,172,7.529999999999999,0.00327105,0.82260178,0.45219793,2280,0.00328551,-0.17058102,0.44106891,154.35999999999999,3791,7.19255811,19-04-2026,17:34,71
62.45798402,390,22.83,0.00408786,0.75354451,0.54847406,2300,0.00413939,-0.24134405,0.54231234,259.43,10968,10.96076337,19-04-2026,17:34,-14
48.01831041,5800,162.6999999999999,0.00480287,0.66625194,0.63267967,2320,0.00488963,-0.33058208,0.63028662,154.19,4940,16.50276924,19-04-2026,17:34,-84
35.75021577,5614,202.07999999999998,0.00523504,0.56345744,0.68494344,2340,0.0053453,-0.43507349,0.684549,232.15000000000003,12725,24.22085251,19-04-2026,17:34,-103
25.74178449,18985,463.2800000000001,0.0052721,0.45778243,0.68985318,2360,0.0053861,-0.54172929,0.69003766,150.06,10418,34.22367442,19-04-2026,17:34,-116
17.97417964,2777,196.92000000000002,0.00494318,0.35748966,0.64906491,2380,0.00504244,-0.64706172,0.64606906,31.86,1313,46.45293401,19-04-2026,17:34,-46
12.31240507,17907,496.48,0.00430646,0.26792452,0.57277622,2400,0.00438146,-0.7371238,0.56732357,37.66,954,60.81074783,19-04-2026,17:34,17
8.36527412,4463,170.91000000000003,0.00355098,0.196724,0.4820738,2420,0.00356697,-0.81228427,0.46839774,5.01,453,76.78452825,19-04-2026,17:34,136
5.77107113,16184,246.76999999999998,0.00280166,0.14218052,0.39117126,2440,0.0027774,-0.86779241,0.37221824,0.67,10,94.12214586,19-04-2026,17:34,249
2.83616608,64096,865.8299999999999,0.00164461,0.07500277,0.24619874,2480,0.00150514,-0.93861695,0.21087922,1.7100000000000002,85,131.20369762,19-04-2026,17:34,547
